season,team1,team2,winner,win_by_runs,win_by_wickets,venue,toss_winner,toss_decision,player_of_match
2009,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,53,0,Feroz Shah Kotla,Delhi Capitals,field,Player19
2009,Mumbai Indians,Delhi Capitals,Delhi Capitals,1,0,Eden Gardens,Mumbai Indians,bat,Player4
2009,Delhi Capitals,Mumbai Indians,Delhi Capitals,0,2,Chinnaswamy Stadium,Delhi Capitals,field,Player39
2009,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,0,6,Eden Gardens,Chennai Super Kings,field,Player12
2009,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,94,0,Rajiv Gandhi Stadium,Mumbai Indians,bat,Player17
2009,Punjab Kings,Rajasthan Royals,Punjab Kings,79,0,Feroz Shah Kotla,Punjab Kings,field,Player2
2009,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,0,2,Rajiv Gandhi Stadium,Kolkata Knight Riders,field,Player18
2009,Delhi Capitals,Punjab Kings,Delhi Capitals,63,0,MA Chidambaram Stadium,Punjab Kings,bat,Player38
2009,Mumbai Indians,Punjab Kings,Punjab Kings,0,7,MA Chidambaram Stadium,Mumbai Indians,bat,Player5
2009,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,0,1,MA Chidambaram Stadium,Sunrisers Hyderabad,field,Player20
2009,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,0,5,MA Chidambaram Stadium,Punjab Kings,field,Player43
2009,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,23,0,Eden Gardens,Kolkata Knight Riders,field,Player8
2009,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,67,0,Eden Gardens,Kolkata Knight Riders,bat,Player32
2009,Chennai Super Kings,Delhi Capitals,Delhi Capitals,19,0,Feroz Shah Kotla,Chennai Super Kings,field,Player28
2009,Chennai Super Kings,Delhi Capitals,Delhi Capitals,70,0,Wankhede Stadium,Chennai Super Kings,bat,Player12
2009,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,78,0,MA Chidambaram Stadium,Chennai Super Kings,bat,Player9
2009,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,86,0,Rajiv Gandhi Stadium,Chennai Super Kings,bat,Player48
2009,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,0,1,Wankhede Stadium,Sunrisers Hyderabad,bat,Player15
2009,Rajasthan Royals,Punjab Kings,Punjab Kings,0,7,Rajiv Gandhi Stadium,Punjab Kings,field,Player45
2010,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,0,3,Eden Gardens,Chennai Super Kings,bat,Player46
2010,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,18,0,MA Chidambaram Stadium,Punjab Kings,bat,Player15
2010,Punjab Kings,Mumbai Indians,Punjab Kings,28,0,MA Chidambaram Stadium,Punjab Kings,bat,Player17
2010,Rajasthan Royals,Delhi Capitals,Delhi Capitals,0,9,Wankhede Stadium,Rajasthan Royals,field,Player25
2010,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,18,0,Chinnaswamy Stadium,Kolkata Knight Riders,field,Player34
2010,Rajasthan Royals,Mumbai Indians,Mumbai Indians,42,0,Wankhede Stadium,Rajasthan Royals,field,Player26
2010,Punjab Kings,Chennai Super Kings,Punjab Kings,0,6,Feroz Shah Kotla,Punjab Kings,bat,Player22
2010,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,4,0,Rajiv Gandhi Stadium,Sunrisers Hyderabad,field,Player30
2010,Rajasthan Royals,Punjab Kings,Rajasthan Royals,3,0,Eden Gardens,Rajasthan Royals,field,Player37
2010,Kolkata Knight Riders,Punjab Kings,Punjab Kings,0,4,Chinnaswamy Stadium,Kolkata Knight Riders,field,Player15
2010,Delhi Capitals,Rajasthan Royals,Delhi Capitals,0,8,Rajiv Gandhi Stadium,Delhi Capitals,field,Player2
2010,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,0,3,Feroz Shah Kotla,Royal Challengers Bangalore,bat,Player6
2010,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,84,0,Wankhede Stadium,Rajasthan Royals,bat,Player12
2010,Rajasthan Royals,Mumbai Indians,Mumbai Indians,0,6,Feroz Shah Kotla,Mumbai Indians,bat,Player36
2010,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,6,0,MA Chidambaram Stadium,Royal Challengers Bangalore,field,Player5
2010,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,0,8,MA Chidambaram Stadium,Chennai Super Kings,bat,Player37
2010,Mumbai Indians,Chennai Super Kings,Mumbai Indians,15,0,Rajiv Gandhi Stadium,Mumbai Indians,bat,Player30
2010,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,0,2,Rajiv Gandhi Stadium,Rajasthan Royals,field,Player11
2010,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,35,0,Wankhede Stadium,Royal Challengers Bangalore,field,Player22
2010,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,14,0,Chinnaswamy Stadium,Delhi Capitals,bat,Player21
2010,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,78,0,MA Chidambaram Stadium,Delhi Capitals,field,Player25
2010,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,0,8,Rajiv Gandhi Stadium,Chennai Super Kings,bat,Player38
2010,Mumbai Indians,Punjab Kings,Mumbai Indians,97,0,Wankhede Stadium,Mumbai Indians,bat,Player47
2010,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,51,0,Eden Gardens,Chennai Super Kings,field,Player3
2010,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,0,4,Feroz Shah Kotla,Rajasthan Royals,field,Player30
2010,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,38,0,Wankhede Stadium,Rajasthan Royals,bat,Player37
2010,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,0,4,Rajiv Gandhi Stadium,Punjab Kings,field,Player5
2010,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,0,6,Feroz Shah Kotla,Royal Challengers Bangalore,bat,Player36
2010,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,29,0,Feroz Shah Kotla,Sunrisers Hyderabad,bat,Player4
2010,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,95,0,Eden Gardens,Kolkata Knight Riders,field,Player36
2010,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,20,0,Eden Gardens,Kolkata Knight Riders,field,Player40
2010,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,47,0,MA Chidambaram Stadium,Rajasthan Royals,bat,Player12
2010,Chennai Super Kings,Delhi Capitals,Delhi Capitals,0,2,Wankhede Stadium,Chennai Super Kings,bat,Player40
2010,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,0,4,Chinnaswamy Stadium,Kolkata Knight Riders,field,Player37
2010,Punjab Kings,Rajasthan Royals,Rajasthan Royals,92,0,MA Chidambaram Stadium,Punjab Kings,field,Player29
2010,Delhi Capitals,Mumbai Indians,Mumbai Indians,23,0,Wankhede Stadium,Mumbai Indians,bat,Player21
2010,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,0,7,Wankhede Stadium,Chennai Super Kings,bat,Player40
2010,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,53,0,Wankhede Stadium,Sunrisers Hyderabad,field,Player26
2010,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,0,9,MA Chidambaram Stadium,Mumbai Indians,field,Player2
2010,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,0,1,Eden Gardens,Rajasthan Royals,field,Player24
2010,Mumbai Indians,Punjab Kings,Punjab Kings,0,5,Wankhede Stadium,Mumbai Indians,bat,Player43
2010,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,0,5,Wankhede Stadium,Delhi Capitals,bat,Player20
2010,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,0,6,Chinnaswamy Stadium,Mumbai Indians,bat,Player40
2010,Mumbai Indians,Punjab Kings,Mumbai Indians,0,7,Eden Gardens,Mumbai Indians,field,Player19
2010,Delhi Capitals,Rajasthan Royals,Delhi Capitals,45,0,Feroz Shah Kotla,Rajasthan Royals,field,Player40
2010,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,0,3,MA Chidambaram Stadium,Chennai Super Kings,field,Player28
2010,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,0,3,Chinnaswamy Stadium,Mumbai Indians,field,Player29
2010,Rajasthan Royals,Punjab Kings,Rajasthan Royals,0,3,Rajiv Gandhi Stadium,Punjab Kings,field,Player33
2010,Rajasthan Royals,Punjab Kings,Punjab Kings,0,2,Feroz Shah Kotla,Punjab Kings,bat,Player3
2010,Punjab Kings,Rajasthan Royals,Punjab Kings,72,0,Rajiv Gandhi Stadium,Punjab Kings,bat,Player37
2010,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,0,8,MA Chidambaram Stadium,Royal Challengers Bangalore,field,Player24
2010,Delhi Capitals,Rajasthan Royals,Delhi Capitals,0,4,Chinnaswamy Stadium,Delhi Capitals,field,Player21
2010,Delhi Capitals,Punjab Kings,Delhi Capitals,0,2,MA Chidambaram Stadium,Delhi Capitals,bat,Player23
2010,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,19,0,Chinnaswamy Stadium,Sunrisers Hyderabad,field,Player18
2010,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,20,0,Eden Gardens,Mumbai Indians,bat,Player2
2010,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,0,4,Feroz Shah Kotla,Royal Challengers Bangalore,field,Player30
2010,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,0,3,Chinnaswamy Stadium,Royal Challengers Bangalore,field,Player44
2010,Punjab Kings,Mumbai Indians,Mumbai Indians,0,8,Eden Gardens,Mumbai Indians,bat,Player32
2010,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,14,0,Wankhede Stadium,Royal Challengers Bangalore,field,Player45
2010,Mumbai Indians,Punjab Kings,Mumbai Indians,0,6,Eden Gardens,Punjab Kings,field,Player26
2011,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,0,7,Feroz Shah Kotla,Chennai Super Kings,field,Player18
2011,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,0,9,Rajiv Gandhi Stadium,Sunrisers Hyderabad,bat,Player37
2011,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,0,7,Feroz Shah Kotla,Rajasthan Royals,field,Player21
2011,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,0,8,MA Chidambaram Stadium,Mumbai Indians,bat,Player7
2011,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,0,5,Chinnaswamy Stadium,Delhi Capitals,field,Player46
2011,Punjab Kings,Chennai Super Kings,Chennai Super Kings,0,1,Eden Gardens,Punjab Kings,field,Player26
2011,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,0,4,Wankhede Stadium,Sunrisers Hyderabad,bat,Player40
2011,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,24,0,Rajiv Gandhi Stadium,Rajasthan Royals,bat,Player33
2011,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,0,3,Eden Gardens,Sunrisers Hyderabad,bat,Player17
2011,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,98,0,Wankhede Stadium,Royal Challengers Bangalore,field,Player9
2011,Mumbai Indians,Chennai Super Kings,Mumbai Indians,61,0,Eden Gardens,Chennai Super Kings,field,Player25
2011,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,0,5,Chinnaswamy Stadium,Royal Challengers Bangalore,bat,Player30
2011,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,44,0,Eden Gardens,Delhi Capitals,bat,Player17
2011,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,47,0,Chinnaswamy Stadium,Mumbai Indians,field,Player24
2011,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,87,0,Feroz Shah Kotla,Punjab Kings,field,Player6
2011,Punjab Kings,Mumbai Indians,Mumbai Indians,12,0,Eden Gardens,Mumbai Indians,bat,Player45
2011,Chennai Super Kings,Punjab Kings,Punjab Kings,0,7,Wankhede Stadium,Chennai Super Kings,field,Player21
2011,Delhi Capitals,Chennai Super Kings,Delhi Capitals,0,5,Wankhede Stadium,Delhi Capitals,field,Player8
2011,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,82,0,Rajiv Gandhi Stadium,Kolkata Knight Riders,bat,Player35
2011,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,17,0,Rajiv Gandhi Stadium,Chennai Super Kings,field,Player35
2011,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,0,3,Feroz Shah Kotla,Kolkata Knight Riders,field,Player26
2011,Rajasthan Royals,Punjab Kings,Punjab Kings,15,0,Wankhede Stadium,Punjab Kings,bat,Player22
2011,Mumbai Indians,Delhi Capitals,Delhi Capitals,16,0,Feroz Shah Kotla,Delhi Capitals,field,Player2
2011,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,0,7,Feroz Shah Kotla,Rajasthan Royals,field,Player32
2011,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,46,0,Chinnaswamy Stadium,Punjab Kings,field,Player49
2011,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,0,9,Chinnaswamy Stadium,Sunrisers Hyderabad,bat,Player10
2011,Delhi Capitals,Mumbai Indians,Delhi Capitals,84,0,Feroz Shah Kotla,Delhi Capitals,field,Player49
